FrequeE-9cy(Hz)	Temperature(C)	D-Factor(D)	CapacitaE-9ce(F)	ImpedaE-9ce(Ohm)
20	26	0.039498	1.299850n	6.117275M
20	28	0.035745	1.275665n	6.234129M
20	30	0.031235	1.240651n	6.411076M
20	32	0.027282	1.195090n	6.656203M
20	34	0.025117	1.145928n	6.942167M
20	36	0.024077	1.109503n	7.170248M
20	38	0.020878	1.067113n	7.455254M
20	40	0.022657	1.032267n	7.707115M
20	42	0.024207	0.992359n	8.017070M
20	44	0.021747	0.959394n	8.293573M
20	46	0.022023	0.920796n	8.640296M
20	48	0.020866	0.886586n	8.973771M
20	50	0.017734	0.854751n	9.308040M
20	52	0.020146	0.823211n	9.664753M
20	54	0.019836	0.795149n	10.005930M
20	56	0.018102	0.766776n	10.376210M
20	58	0.019345	0.740739n	10.740980M
20	60	0.019123	0.715578n	11.118690M
20	62	0.018876	0.692216n	11.493980M
20	64	0.018727	0.669383n	11.886140M
20	66	0.018659	0.650632n	12.228050M
20	68	0.018610	0.629070n	12.647830M
20	70	0.025575	0.610015n	13.042940M
20	72	0.018755	0.591928n	13.441470M
20	74	0.014685	0.573863n	13.864530M
20	76	0.018935	0.557176n	14.279670M
20	78	0.019486	0.541477n	14.693630M
20	80	0.019646	0.526363n	15.115440M
20	82	0.020366	0.511998n	15.539270M
20	84	0.021224	0.498965n	15.944960M
20	86	0.017379	0.486830n	16.343440M
20	88	0.018606	0.473873n	16.790130M
20	90	0.024551	0.462997n	17.184130M
20	92	0.026062	0.453460n	17.543140M
20	94	0.028186	0.443612n	17.931500M
20	96	0.030216	0.434250n	18.316790M
20	98	0.032585	0.425976n	18.671390M
20	100	0.035662	0.417211n	19.061860M
20	102	0.042532	0.409845n	19.402470M
20	104	0.047119	0.404365n	19.662260M
20	106	0.044668	0.394855n	20.133660M
20	108	0.048793	0.387394n	20.517270M
20	110	0.053426	0.380502n	20.876880M
20	112	0.064868	0.373490n	21.269290M
20	114	0.064700	0.367090n	21.632550M
20	116	0.071918	0.360780n	22.000990M
20	118	0.080111	0.356456n	22.260080M
20	120	0.089589	0.348902n	22.703160M
20	122	0.100437	0.340589n	23.236340M
20	124	0.112480	0.337002n	23.465200M
20	126	0.136248	0.331680n	23.803990M
20	128	0.142386	0.326428n	24.136940M
20	130	0.159830	0.324093n	24.250700M
20	132	0.180114	0.317477n	24.636380M
20	134	0.194060	0.311839n	25.010950M
20	136	0.224981	0.307435n	25.234960M
20	138	0.266543	0.303213n	25.424120M
20	140	0.289834	0.301159n	25.381520M
20	142	0.346298	0.295065n	25.636310M
20	144	0.367124	0.291406n	25.642500M
20	146	0.409910	0.287912n	25.554400M
20	148	0.455903	0.284884n	25.364120M
20	150	0.519031	0.284157n	24.955310M
20	152	0.580219	0.277144n	24.845350M
20	154	0.647021	0.279424n	24.119420M
20	156	0.723093	0.274627n	23.492860M
20	158	0.827074	0.272943n	22.756350M
20	160	0.891374	0.273510n	21.781610M
20	162	0.976824	0.270532n	20.983120M
20	164	1.088049	0.269982n	19.955100M
20	166	1.183606	0.270075n	18.912250M
20	168	1.321186	0.270603n	17.783980M
20	170	1.418503	0.271195n	16.783850M
20	172	1.575240	0.273997n	15.592090M
20	174	1.728314	0.274711n	14.607210M
20	176	1.851494	0.280412n	13.498150M
20	178	1.998179	0.286835n	12.545770M
20	180	2.114361	0.290867n	11.546790M
20	182	2.282465	0.298365n	10.710860M
20	184	2.420429	0.306989n	9.910147M
20	186	2.556631	0.317260n	9.144867M
20	188	2.704168	0.326868n	8.450338M
20	190	2.811233	0.341213n	7.795234M
20	192	2.921759	0.356340n	7.211790M
20	194	3.031813	0.374334n	6.678420M
20	196	3.116935	0.398329n	6.166810M
20	198	3.179954	0.418401n	5.706780M
20	200	3.248202	0.442664n	5.289562M
30	26	0.032414	1.292952n	4.100981M
30	28	0.029404	1.268311n	4.181032M
30	30	0.027804	1.234064n	4.297502M
30	32	0.022605	1.189621n	4.458398M
30	34	0.020776	1.141376n	4.647039M
30	36	0.019853	1.105234n	4.799085M
30	38	0.019116	1.063240n	4.988716M
30	40	0.018523	1.026451n	5.167561M
30	42	0.018069	0.989020n	5.363192M
30	44	0.017626	0.952521n	5.568742M
30	46	0.017132	0.917847n	5.779160M
30	48	0.016845	0.883855n	6.001460M
30	50	0.016471	0.852113n	6.225048M
30	52	0.016066	0.820858n	6.462101M
30	54	0.015781	0.792628n	6.692305M
30	56	0.015505	0.764505n	6.938512M
30	58	0.015293	0.738550n	7.182376M
30	60	0.014944	0.709383n	7.478113M
30	62	0.014851	0.690227n	7.685256M
30	64	0.017023	0.667734n	7.944154M
30	66	0.014655	0.650393n	8.156157M
30	68	0.014597	0.622782n	8.517106M
30	70	0.014578	0.608432n	8.718482M
30	72	0.014578	0.590512n	8.983048M
30	74	0.014736	0.572552n	9.264820M
30	76	0.014882	0.556035n	9.540013M
30	78	0.015134	0.540187n	9.819852M
30	80	0.015384	0.524894n	10.105910M
30	82	0.015738	0.510773n	10.385250M
30	84	0.016340	0.497636n	10.659310M
30	86	0.017016	0.484923n	10.938650M
30	88	0.020123	0.473592n	11.200230M
30	90	0.018779	0.461715n	11.488120M
30	92	0.019885	0.452215n	11.729170M
30	94	0.021334	0.442277n	11.992360M
30	96	0.023194	0.439739n	12.056790M
30	98	0.024817	0.424585n	12.491110M
30	100	0.032465	0.416059n	12.746420M
30	102	0.028919	0.408510n	12.981190M
30	104	0.031071	0.400778n	13.230750M
30	106	0.033438	0.394545n	13.443500M
30	108	0.028073	0.386236n	13.726480M
30	110	0.039539	0.379255n	13.977510M
30	112	0.043095	0.372354n	14.234450M
30	114	0.047153	0.365949n	14.481080M
30	116	0.051924	0.359676n	14.730030M
30	118	0.057355	0.353371n	14.988540M
30	120	0.063689	0.347322n	15.243700M
30	122	0.071210	0.341422n	15.499330M
30	124	0.085451	0.335805n	15.748750M
30	126	0.088494	0.330469n	15.991000M
30	128	0.099345	0.325097n	16.238660M
30	130	0.108139	0.317364n	16.604190M
30	132	0.132629	0.312914n	16.806410M
30	134	0.140596	0.310552n	16.917260M
30	136	0.158185	0.305928n	17.128430M
30	138	0.177418	0.301639n	17.317520M
30	140	0.200079	0.298749n	17.472060M
30	142	0.224782	0.293315n	17.647700M
30	144	0.252195	0.289540n	17.768650M
30	146	0.283207	0.285783n	17.863080M
30	148	0.317318	0.282324n	17.912890M
30	150	0.356599	0.280712n	17.757280M
30	152	0.398904	0.273083n	17.913780M
30	154	0.445967	0.272856n	17.761240M
30	156	0.499139	0.268412n	17.529750M
30	158	0.569946	0.267645n	17.332950M
30	160	0.619199	0.265452n	17.002280M
30	162	0.686153	0.263531n	16.607210M
30	164	0.788252	0.261817n	16.116550M
30	166	0.843011	0.260420n	15.579440M
30	168	0.963542	0.259384n	14.945020M
30	170	1.030911	0.258780n	14.281410M
30	172	1.135544	0.258512n	13.569060M
30	174	1.235928	0.258840n	12.839330M
30	176	1.364156	0.259680n	12.086270M
30	178	1.510914	0.261196n	11.341010M
30	180	1.618158	0.263352n	10.598360M
30	182	1.752576	0.265013n	9.974860M
30	184	1.887641	0.269102n	9.251916M
30	186	2.029402	0.276867n	8.457924M
30	188	2.168203	0.282461n	7.918929M
30	190	2.300058	0.288023n	7.330779M
30	192	2.470998	0.296534n	6.785953M
30	194	2.582129	0.306527n	6.278972M
30	196	2.659699	0.317919n	5.818389M
30	198	2.841648	0.331388n	5.375982M
30	200	2.910070	0.346410n	4.978745M
40	26	0.028594	1.288568n	3.086570M
40	28	0.026129	1.263737n	3.147439M
40	30	0.022726	1.230025n	3.233936M
40	32	0.017103	1.186249n	3.353485M
40	34	0.018556	1.138562n	3.494040M
40	36	0.017646	1.102529n	3.608299M
40	38	0.016766	1.056870n	3.764196M
40	40	0.016356	1.024319n	3.883896M
40	42	0.015822	0.986787n	4.031647M
40	44	0.015290	0.950691n	4.184755M
40	46	0.014894	0.916157n	4.342537M
40	48	0.014560	0.882250n	4.509450M
40	50	0.014163	0.850665n	4.677299M
40	52	0.013891	0.819472n	4.854953M
40	54	0.013258	0.791363n	5.027433M
40	56	0.013203	0.763361n	5.211855M
40	58	0.013026	0.737547n	5.394302M
40	60	0.012997	0.712750n	5.581976M
40	62	0.012617	0.689423n	5.770836M
40	64	0.012493	0.666914n	5.965642M
40	66	0.011928	0.646383n	6.155121M
40	68	0.012180	0.626708n	6.348382M
40	70	0.012533	0.607930n	6.544456M
40	72	0.011282	0.589822n	6.745383M
40	74	0.012478	0.571838n	6.957485M
40	76	0.012385	0.555625n	7.160534M
40	78	0.012455	0.539619n	7.372906M
40	80	0.012712	0.524373n	7.587288M
40	82	0.013145	0.510278n	7.796786M
40	84	0.013119	0.497026n	8.004655M
40	86	0.027008	0.484386n	8.213476M
40	88	0.014680	0.472967n	8.411711M
40	90	0.015375	0.462389n	8.604794M
40	92	0.016392	0.451540n	8.810640M
40	94	0.017489	0.456128n	8.718198M
40	96	0.019294	0.431458n	9.218649M
40	98	0.020430	0.424100n	9.379966M
40	100	0.014215	0.415459n	9.574631M
40	102	0.021980	0.408016n	9.749028M
40	104	0.025137	0.400047n	9.942913M
40	106	0.027110	0.387471n	10.267960M
40	108	0.037225	0.385685n	10.311800M
40	110	0.031646	0.378732n	10.500440M
40	112	0.034996	0.371968n	10.690540M
40	114	0.037618	0.367384n	10.818480M
40	116	0.040388	0.359351n	11.062920M
40	118	0.045334	0.352900n	11.263350M
40	120	0.050410	0.347016n	11.451620M
40	122	0.055691	0.357079n	11.128540M
40	124	0.062079	0.335480n	11.837640M
40	126	0.068724	0.330007n	12.028550M
40	128	0.076973	0.313546n	12.625220M
40	130	0.097407	0.319691n	12.400290M
40	132	0.096776	0.314648n	12.586190M
40	134	0.108408	0.309972n	12.762180M
40	136	0.121467	0.306956n	12.850080M
40	138	0.136509	0.301203n	13.090420M
40	140	0.153040	0.296741n	13.254080M
40	142	0.171592	0.292544n	13.405840M
40	144	0.192731	0.288590n	13.537920M
40	146	0.216651	0.285007n	13.645080M
40	148	0.239529	0.281281n	13.747600M
40	150	0.273058	0.277855n	13.814770M
40	152	0.305115	0.274472n	13.866630M
40	154	0.340967	0.271427n	13.875160M
40	156	0.381659	0.268250n	13.859210M
40	158	0.424642	0.265394n	13.800660M
40	160	0.475098	0.262995n	13.673330M
40	162	0.557549	0.260558n	13.513420M
40	164	0.586096	0.258379n	13.290290M
40	166	0.632453	0.256483n	13.010010M
40	168	0.723138	0.254631n	12.660310M
40	170	0.791384	0.253302n	12.270720M
40	172	0.889249	0.257454n	11.812030M
40	174	0.974612	0.251463n	11.338360M
40	176	1.074147	0.247616n	10.834830M
40	178	1.177548	0.250952n	10.263650M
40	180	1.288984	0.251544n	9.698803M
40	182	1.403452	0.250560n	9.247046M
40	184	1.475988	0.255875n	8.672299M
40	186	1.636019	0.260157n	8.001675M
40	188	1.791910	0.259759n	7.469467M
40	190	1.929202	0.263899n	6.950884M
40	192	2.064527	0.268646n	6.460995M
40	194	2.201437	0.274768n	5.996092M
40	196	2.333045	0.281665n	5.567446M
40	198	2.467433	0.290183n	5.150940M
40	200	2.589366	0.300033n	4.776938M
50	26	0.025075	1.282991n	2.480202M
50	28	0.024577	1.255558n	2.534512M
50	30	0.022232	1.228434n	2.590655M
50	32	0.017209	1.182972n	2.690357M
50	34	0.017230	1.135248n	2.803662M
50	36	0.015385	1.099827n	2.893887M
50	38	-4.503330m	1.056951n	3.011168M
50	40	0.012256	0.998904n	3.184254M
50	42	9.211772m	0.980359n	3.246575M
50	44	0.012757	0.946794n	3.361758M
50	46	0.015167	0.912693n	3.487184M
50	48	0.011500	0.879609n	3.618588M
50	50	6.881595m	0.848095n	3.753146M
50	52	0.011340	0.816248n	3.899429M
50	54	5.475825m	0.792010n	4.018862M
50	56	0.083518	0.761174n	4.181595M
50	58	0.013308	0.722237n	4.407145M
50	60	8.933061m	0.708980n	4.489517M
50	62	4.137545m	0.687531n	4.629716M
50	64	6.730186m	0.663527n	4.797104M
50	66	0.010617	0.647350n	4.916860M
50	68	-0.074745	0.623428n	5.105608M
50	70	8.911183m	0.630665n	5.037912M
50	72	7.893265m	0.587504n	5.417773M
50	74	5.238182m	0.568255n	5.601522M
50	76	0.012984	0.556434n	5.720427M
50	78	6.236502m	0.538141n	5.914864M
50	80	9.605297m	0.519824n	6.122945M
50	82	7.204584m	0.507311n	6.274338M
50	84	0.013045	0.496904n	6.405335M
50	86	9.004948m	0.481666n	6.608179M
50	88	0.010263	0.471013n	6.757152M
50	90	0.010757	0.499165n	6.359402M
50	92	3.849015m	0.456398n	6.940629M
50	94	0.010126	0.439957n	7.234487M
50	96	0.019265	0.431577n	7.375416M
50	98	-0.096729	0.422090n	7.540775M
50	100	0.017274	0.413913n	7.688347M
50	102	0.017644	0.405121n	7.856024M
50	104	0.025266	0.399126n	7.972652M
50	106	0.017270	0.391249n	8.134398M
50	108	0.022308	0.384224n	8.281032M
50	110	0.023508	0.377083n	8.439200M
50	112	0.020584	0.366631n	8.680006M
50	114	0.027146	0.321939n	9.864507M
50	116	0.038543	0.354325n	8.977739M
50	118	0.031057	0.350122n	9.086698M
50	120	0.046408	0.341974n	9.299293M
50	122	0.041858	0.338073n	9.407297M
50	124	0.047863	0.333216n	9.538155M
50	126	0.052357	0.328045n	9.689592M
50	128	0.055382	0.319075n	9.959611M
50	130	-0.055855	0.317966n	9.989378M
50	132	0.073668	0.309089n	10.272920M
50	134	0.082370	0.307651n	10.312750M
50	136	0.096188	0.303284n	10.447740M
50	138	0.116244	0.301606n	10.502110M
50	140	0.121065	0.294930n	10.717260M
50	142	0.145509	0.283990n	11.094320M
50	144	0.152988	0.278888n	10.826060M
50	146	0.177353	0.241965n	13.121950M
50	148	0.191992	0.278302n	11.228560M
50	150	0.227003	0.273129n	11.418310M
50	152	0.241142	0.271410n	11.402690M
50	154	0.259819	0.303847n	9.854070M
50	156	0.303020	0.279195n	10.756480M
50	158	0.341383	0.261769n	11.464110M
50	160	0.417386	0.256918n	11.539160M
50	162	0.424358	0.256595n	11.411150M
50	164	0.482271	0.254832n	11.233720M
50	166	0.526789	0.252746n	11.160150M
50	168	0.582355	0.253594n	10.872690M
50	170	0.646443	0.249141n	10.732030M
50	172	0.737030	0.249215n	10.349970M
50	174	0.798262	0.244938n	10.156100M
50	176	0.881716	0.243794n	9.781420M
50	178	0.953473	0.246042n	9.368966M
50	180	1.065886	0.244011n	8.928145M
50	182	1.185438	0.244411n	8.419855M
50	184	1.279569	0.244040n	8.039655M
50	186	1.404085	0.246439n	7.496115M
50	188	1.517941	0.246297n	7.105171M
50	190	1.600841	0.301613n	6.066350M
50	192	1.968097	0.250871n	6.202291M
50	194	1.937460	0.251979n	5.794203M
50	196	1.758166	0.313695n	5.325138M
50	198	2.179277	0.287642n	4.620425M
50	200	2.415947	0.243473n	4.404408M
60	26	0.024636	1.282285n	2.068008M
60	28	0.022512	1.257242n	2.109307M
60	30	0.019879	1.223882n	2.166924M
60	32	0.017585	1.181166n	2.245385M
60	34	0.016099	1.133998n	2.338840M
60	36	0.015370	1.098410n	2.414645M
60	38	0.014605	1.057066n	2.509114M
60	40	0.014100	1.020695n	2.598542M
60	42	0.013582	0.983630n	2.696479M
60	44	0.013150	0.947500n	2.799316M
60	46	0.012704	0.913178n	2.904547M
60	48	0.012271	0.879474n	3.015874M
60	50	0.011925	0.848042n	3.127832M
60	52	0.011586	0.816986n	3.246573M
60	54	0.011289	0.789100n	3.361316M
60	56	0.011015	0.761137n	3.484818M
60	58	0.010746	0.735402n	3.606775M
60	60	0.010566	0.710298n	3.734456M
60	62	0.010323	0.687514n	3.858020M
60	64	0.010098	0.665067n	3.988240M
60	66	9.943841m	0.644815n	4.113506M
60	68	9.847460m	0.625214n	4.242474M
60	70	0.017683	0.606188n	4.375631M
60	72	9.717338m	0.588351n	4.508288M
60	74	9.754550m	0.570507n	4.649292M
60	76	9.857183m	0.554056n	4.787335M
60	78	9.987633m	0.538262n	4.927805M
60	80	0.010152	0.523112n	5.070519M
60	82	0.010302	0.509000n	5.211086M
60	84	0.010565	0.495924n	5.348466M
60	86	0.010895	0.483223n	5.489033M
60	88	0.013586	0.471936n	5.620276M
60	90	0.011997	0.460079n	5.765074M
60	92	0.012715	0.450492n	5.887712M
60	94	0.013520	0.440527n	6.020824M
60	96	-0.718377m	0.431161n	6.151522M
60	98	0.015875	0.422729n	6.274110M
60	100	0.017175	0.414144n	6.404046M
60	102	0.018404	0.407959n	6.501893M
60	104	0.032823	0.398847n	6.649337M
60	106	0.020932	0.391552n	6.773043M
60	108	0.022400	0.384324n	6.900215M
60	110	8.835747m	0.377402n	7.026518M
60	112	0.025816	0.370530n	7.156519M
60	114	0.027869	0.364107n	7.282385M
60	116	0.030151	0.357851n	7.409173M
60	118	0.032890	0.347108n	7.639330M
60	120	0.036165	0.349798n	7.562709M
60	122	0.039891	0.336316n	7.876928M
60	124	0.044170	0.334088n	7.932077M
60	126	0.048923	0.328727n	8.059623M
60	128	0.054581	0.323328n	8.191865M
60	130	0.060604	0.318388n	8.316025M
60	132	0.069345	0.313279n	8.447769M
60	134	0.075827	0.308654n	8.569510M
60	136	0.084935	0.303942n	8.696029M
60	138	0.094811	0.299574n	8.815115M
60	140	0.106364	0.295265n	8.933441M
60	142	0.119269	0.291112n	9.047951M
60	144	0.133286	0.287256n	9.130718M
60	146	0.149445	0.297979n	8.805884M
60	148	0.167190	0.279513n	9.360401M
60	150	0.187674	0.268165n	9.744958M
60	152	0.209728	0.272407n	9.530642M
60	154	0.234058	0.279439n	9.304194M
60	156	0.262224	0.265479n	9.706988M
60	158	0.292081	0.262917n	9.685308M
60	160	0.269856	0.260016n	9.700428M
60	162	0.362507	0.257298n	9.693823M
60	164	0.403938	0.254893n	9.714241M
60	166	0.448417	0.252259n	9.595696M
60	168	0.499963	0.245744n	9.736508M
60	170	0.554396	0.247863n	9.360791M
60	172	0.615359	0.245989n	9.186508M
60	174	0.680425	0.239940n	9.039840M
60	176	0.752662	0.242854n	8.728832M
60	178	0.830193	0.234634n	8.634276M
60	180	0.914774	0.239990n	8.162242M
60	182	1.005777	0.240291n	7.786806M
60	184	1.101475	0.240022n	7.431233M
60	186	1.206713	0.240162n	7.049252M
60	188	1.316574	0.240767n	6.665581M
60	190	1.462653	0.241942n	6.277547M
60	192	1.553976	0.243585n	5.894226M
60	194	1.680486	0.245922n	5.517473M
60	196	1.808440	0.248883n	5.158912M
60	198	1.943283	0.252798n	4.802650M
60	200	2.076237	0.257509n	4.471452M
70	26	0.020838	1.280348n	1.775316M
70	28	0.021352	1.255229n	1.810924M
70	30	0.018871	1.222048n	1.860188M
70	32	0.016758	1.179614n	1.927175M
70	34	0.015399	1.132702n	2.007034M
70	36	0.014585	1.094300n	2.077653M
70	38	0.013942	1.055984n	2.152893M
70	40	0.013337	1.019731n	2.229449M
70	42	0.012888	0.982674n	2.313537M
70	44	0.017908	0.946616n	2.401681M
70	46	0.011876	0.912420n	2.491703M
70	48	0.011460	0.878755n	2.587175M
70	50	0.011159	0.847359n	2.683049M
70	52	0.010717	0.816398n	2.784808M
70	54	0.010433	0.788461n	2.883489M
70	56	0.010103	0.760639n	2.988967M
70	58	9.941262m	0.734899n	3.093664M
70	60	9.752664m	0.710254n	3.201021M
70	62	9.283703m	0.687189n	3.308471M
70	64	9.171777m	0.659852n	3.445443M
70	66	9.155366m	0.644593n	3.527102M
70	68	8.862398m	0.624937n	3.638049M
70	70	8.880747m	0.605882n	3.752469M
70	72	8.731163m	0.588092n	3.865987M
70	74	8.823997m	0.570167n	3.987525M
70	76	8.754667m	0.553826n	4.105176M
70	78	8.828566m	0.538087n	4.225247M
70	80	8.970244m	0.522868n	4.348233M
70	82	9.264820m	0.508812n	4.468340M
70	84	9.374194m	0.495794n	4.585648M
70	86	9.700254m	0.483055n	4.706578M
70	88	0.010049	0.471703n	4.819815M
70	90	0.010637	0.459925n	4.943227M
70	92	0.011259	0.450358n	5.048196M
70	94	0.012262	0.440301n	5.163457M
70	96	0.013105	0.430987n	5.274978M
70	98	0.014138	0.422516n	5.380658M
70	100	0.015229	0.413978n	5.491551M
70	102	0.028377	0.406338n	5.594692M
70	104	0.017652	0.398600n	5.703173M
70	106	0.018731	0.391372n	5.808405M
70	108	0.019915	0.384163n	5.917247M
70	110	0.021296	0.377176n	6.026699M
70	112	0.022836	0.370312n	6.138231M
70	114	0.030933	0.363926n	6.245675M
70	116	0.026387	0.357719n	6.353710M
70	118	0.028855	0.351457n	6.466496M
70	120	0.031393	0.345419n	6.578945M
70	122	0.034888	0.339497n	6.693043M
70	124	0.038697	0.333943n	6.803457M
70	126	0.042531	0.328563n	6.913698M
70	128	0.047259	0.323186n	7.027285M
70	130	0.052710	0.318148n	7.136579M
70	132	0.058876	0.313080n	7.249701M
70	134	0.065855	0.308391n	7.356715M
70	136	0.073731	0.306182n	7.405125M
70	138	0.081933	0.299347n	7.570001M
70	140	0.092128	0.294976n	7.675443M
70	142	0.103110	0.285902n	7.904368M
70	144	0.115374	0.286801n	7.875391M
70	146	0.129235	0.283594n	7.956017M
70	148	0.144576	0.279234n	8.059007M
70	150	0.162134	0.275261n	8.113317M
70	152	0.181376	0.271994n	8.225278M
70	154	0.202069	0.262176n	8.465459M
70	156	0.226776	0.268651n	8.306493M
70	158	0.252556	0.262302n	8.404560M
70	160	0.281653	0.259465n	8.435416M
70	162	0.330559	0.256616n	8.455903M
70	164	0.349141	0.262005n	8.204446M
70	166	0.388068	0.251346n	8.434244M
70	168	0.432777	0.248643n	8.375955M
70	170	0.480341	0.246628n	8.311158M
70	172	0.533274	0.244621n	8.202512M
70	174	0.590516	0.248580n	7.991989M
70	176	0.654012	0.240938n	7.899094M
70	178	0.722382	0.239542n	7.697241M
70	180	0.797375	0.230172n	7.594986M
70	182	0.878411	0.237212n	7.202139M
70	184	0.963973	0.236631n	6.919331M
70	186	1.058147	0.236320n	6.608860M
70	188	1.157930	0.236258n	6.291552M
70	190	1.235006	0.236761n	5.961399M
70	192	1.376562	0.237502n	5.627759M
70	194	1.494755	0.238846n	5.294823M
70	196	1.615436	0.240826n	4.970716M
70	198	1.744770	0.243566n	4.644456M
70	200	1.875015	0.246780n	4.337872M
80	26	0.022425	1.278354n	1.555857M
80	28	0.020511	1.253002n	1.587402M
80	30	0.018221	1.221838n	1.628064M
80	32	0.016178	1.177926n	1.688711M
80	34	0.014771	1.131144n	1.758591M
80	36	0.014078	1.095793n	1.815343M
80	38	0.013315	1.049520n	1.895445M
80	40	0.012803	1.018523n	1.953097M
80	42	0.012255	0.981506n	2.026768M
80	44	0.011828	0.945577n	2.103793M
80	46	0.011343	0.911422n	2.182643M
80	48	0.010889	0.877808n	2.266235M
80	50	0.011123	0.846390n	2.350367M
80	52	0.010131	0.815596n	2.439117M
80	54	9.817662m	0.787799n	2.525189M
80	56	9.521352m	0.759965n	2.617683M
80	58	9.193422m	0.734349n	2.709001M
80	60	9.000630m	0.709641n	2.803329M
80	62	8.786362m	0.686478n	2.897926M
80	64	8.596612m	0.664145n	2.995375M
80	66	8.351991m	0.643987n	3.089141M
80	68	8.263922m	0.624407n	3.186014M
80	70	8.088481m	0.605445n	3.285797M
80	72	8.066744m	0.587593n	3.385626M
80	74	8.053840m	0.569867n	3.490945M
80	76	8.079414m	0.553387n	3.594900M
80	78	8.173099m	0.537680n	3.699918M
80	80	8.318383m	0.522453n	3.807742M
80	82	8.320619m	0.508447n	3.912629M
80	84	8.565449m	0.495407n	4.015616M
80	86	8.824105m	0.482638n	4.121843M
80	88	6.799181m	0.471416n	4.219955M
80	90	9.705602m	0.459561n	4.328793M
80	92	0.010236	0.449978n	4.420950M
80	94	0.010559	0.439943n	4.521758M
80	96	0.012037	0.430609n	4.619728M
80	98	0.012947	0.422130n	4.712457M
80	100	0.013942	0.413519n	4.810521M
80	102	0.015022	0.405910n	4.900627M
80	104	0.015946	0.398184n	4.995625M
80	106	0.017093	0.390978n	5.087616M
80	108	0.018028	0.383723n	5.183722M
80	110	0.019348	0.376808n	5.278726M
80	112	0.020656	0.367141n	5.417952M
80	114	0.022065	0.363602n	5.470140M
80	116	0.023818	0.357276n	5.566765M
80	118	0.025969	0.351070n	5.664898M
80	120	0.028389	0.345023n	5.763796M
80	122	0.031085	0.339159n	5.862930M
80	124	0.034329	0.333552n	5.960863M
80	126	0.037970	0.332697n	5.974125M
80	128	0.042115	0.322845n	6.156768M
80	130	0.046756	0.317753n	6.254131M
80	132	0.052383	0.315016n	6.306520M
80	134	0.058332	0.308006n	6.448120M
80	136	0.065187	0.303317n	6.545017M
80	138	0.072698	0.298944n	6.637413M
80	140	0.081520	0.294594n	6.730786M
80	142	0.091378	0.290428n	6.821673M
80	144	0.093654	0.286417n	6.910067M
80	146	0.114301	0.282439n	6.998258M
80	148	0.127748	0.278730n	7.079893M
80	150	0.143168	0.275037n	7.160186M
80	152	0.159996	0.271497n	7.235524M
80	154	0.178479	0.268159n	7.303540M
80	156	0.199923	0.264848n	7.365973M
80	158	0.222606	0.261793n	7.417619M
80	160	0.248300	0.258741n	7.462163M
80	162	0.276293	0.255914n	7.493662M
80	164	0.308527	0.253099n	7.511933M
80	166	0.342320	0.250540n	7.512687M
80	168	0.381918	0.247968n	7.495131M
80	170	0.433965	0.245612n	7.457685M
80	172	0.491319	0.243392n	7.395066M
80	174	0.521992	0.242620n	7.248360M
80	176	0.578414	0.239479n	7.191437M
80	178	0.639612	0.232901n	7.139210M
80	180	0.706885	0.235034n	6.929530M
80	182	0.779617	0.235082n	6.675731M
80	184	0.856900	0.234050n	6.455358M
80	186	0.943142	0.233334n	6.205169M
80	188	1.033729	0.232924n	5.941053M
80	190	1.156600	0.232767n	5.662774M
80	192	1.234594	0.233102n	5.372766M
80	194	1.343979	0.233811n	5.078726M
80	196	1.457807	0.234984n	4.789565M
80	198	1.580686	0.236759n	4.493288M
80	200	1.704830	0.239140n	4.209431M
90	26	0.021730	1.276960n	1.384515M
90	28	0.019919	1.251653n	1.412561M
90	30	0.017720	1.218794n	1.450705M
90	32	0.015800	1.176795n	1.502528M
90	34	0.014528	1.130259n	1.564423M
90	36	0.013756	1.094927n	1.614921M
90	38	0.013006	1.054054n	1.677559M
90	40	0.012506	1.017775n	1.737369M
90	42	0.011999	0.980841n	1.802801M
90	44	0.011493	0.944981n	1.871225M
90	46	0.011023	0.910849n	1.941355M
90	48	0.010544	0.877287n	2.015635M
90	50	0.010184	0.845972n	2.090253M
90	52	9.207914m	0.815182n	2.169213M
90	54	9.517883m	0.787369n	2.245846M
90	56	9.189299m	0.759576n	2.328029M
90	58	8.868052m	0.733946n	2.409329M
90	60	8.671643m	0.709350n	2.492875M
90	62	8.431555m	0.686216n	2.576924M
90	64	8.203567m	0.663918n	2.663474M
90	66	7.975597m	0.642765n	2.751050M
90	68	9.966031m	0.624182n	2.833041M
90	70	7.775412m	0.606331n	2.916472M
90	72	7.684762m	0.587359n	3.010655M
90	74	7.733745m	0.569625n	3.104388M
90	76	7.727481m	0.553207n	3.196519M
90	78	7.880926m	0.537473n	3.290090M
90	80	0.012151	0.522292n	3.385720M
90	82	7.917876m	0.508268n	3.479135M
90	84	8.100215m	0.495222n	3.570784M
90	86	8.398923m	0.482501n	3.664916M
90	88	8.668395m	0.471231n	3.752555M
90	90	9.162745m	0.459411n	3.849091M
90	92	9.640266m	0.449812n	3.931210M
90	94	0.010294	0.439829n	4.020400M
90	96	0.011360	0.430396n	4.108480M
90	98	0.012049	0.421939n	4.190788M
90	100	0.013093	0.413369n	4.277620M
90	102	0.017384	0.405727n	4.358133M
90	104	0.015107	0.398051n	4.442113M
90	106	0.015963	0.390738n	4.525185M
90	108	0.016993	0.384255n	4.600979M
90	110	0.018012	0.376565n	4.695347M
